source,label_col,subgroup_col,subgroup_val,auditor,accuracy,demographic_parity,equalized_odds,equal_opportunity
deepface,gender,age,4,svm,0.8957528957528957,0.2874893797790994,0.34925352471827,0.3485229972694067
deepface,gender,age,5,svm,0.8907849829351536,0.2874893797790994,0.34925352471827,0.3485229972694067
deepface,gender,age,6,svm,0.8674242424242424,0.2874893797790994,0.34925352471827,0.3485229972694067
deepface,gender,age,7,svm,0.8723404255319149,0.2874893797790994,0.34925352471827,0.3485229972694067
deepface,gender,age,8,svm,0.8270676691729323,0.2874893797790994,0.34925352471827,0.3485229972694067
deepface,gender,overall,-1,deep,0.8613333333333333,,,
deepface,gender,race,0,deep,0.8404785643070788,0.11223161117739672,0.1781952153167516,0.15076782925559595
deepface,gender,race,1,deep,0.8424908424908425,0.11223161117739672,0.1781952153167516,0.15076782925559595
deepface,gender,race,2,deep,0.7036247334754797,0.11223161117739672,0.1781952153167516,0.15076782925559595
deepface,gender,race,3,deep,0.8392156862745098,0.11223161117739672,0.1781952153167516,0.15076782925559595
deepface,gender,race,4,deep,0.8190184049079755,0.11223161117739672,0.1781952153167516,0.15076782925559595
deepface,gender,race,5,deep,0.8389830508474576,0.11223161117739672,0.1781952153167516,0.15076782925559595
deepface,gender,race,6,deep,0.819672131147541,0.11223161117739672,0.1781952153167516,0.15076782925559595
deepface,gender,age,0,deep,0.5524475524475524,0.2540710846785613,0.3647071888237946,0.31941331445873145
deepface,gender,age,1,deep,0.6964769647696477,0.2540710846785613,0.3647071888237946,0.31941331445873145
deepface,gender,age,2,deep,0.7768361581920904,0.2540710846785613,0.3647071888237946,0.31941331445873145
deepface,gender,age,3,deep,0.8925233644859814,0.2540710846785613,0.3647071888237946,0.31941331445873145
deepface,gender,age,4,deep,0.888030888030888,0.2540710846785613,0.3647071888237946,0.31941331445873145
deepface,gender,age,5,deep,0.8907849829351536,0.2540710846785613,0.3647071888237946,0.31941331445873145
deepface,gender,age,6,deep,0.8825757575757576,0.2540710846785613,0.3647071888237946,0.31941331445873145
deepface,gender,age,7,deep,0.8581560283687943,0.2540710846785613,0.3647071888237946,0.31941331445873145
deepface,gender,age,8,deep,0.8120300751879699,0.2540710846785613,0.3647071888237946,0.31941331445873145
deepface,race,overall,-1,naive,0.3343333333333333,,,
deepface,race,gender,0,naive,0.3449612403100775,0.0,0.0,0.0
deepface,race,gender,1,naive,0.32300275482093666,0.0,0.0,0.0
deepface,race,age,0,naive,0.21328671328671328,0.0,0.0,0.0
